Date,opening_price,highest_price,lowest_price,closing_price,transactions_in_blockchain,avg_block_size,sent_by_adress,avg_mining_difficulty,avg_hashrate,mining_profitability,sent_coins_in_usd,avg_transaction_fees,median_transaction_fees,avg_block_time,avg_transaction_value,median_transaction_value,tweets,google_trends,active_addresses,top100_to_total_percentage,avg_fee_to_reward,number_of_coins_in_circulation,miner_revenue,next_day_closing_price
2013-04-23,118.91,125.01,116.0,123.74,61500,174451,63399,8974296,72944892922583,7056,182480908,0.12,0.0604,8.571,3176,72.2,8193,13.864,93177,20.52,1.441,11073800.0,560371.0005537,137.29
2013-04-24,123.73,138.87,121.12,137.29,64861,209559,63368,8974296,74219362802875,7469,241842361,0.13,0.0674,8.889,4566,77.787,8193,13.03,102538,20.311,1.523,11077775.0,608258.04025,149.0
2013-04-25,137.3,161.0,134.98,149.0,62394,175633,62666,8974296,71363029014717,8539,218798349,0.136,0.0699,8.372,3672,91.25,8193,11.372,90770,20.382,1.393,11076050.0,589864.35,141.9
2013-04-26,150.0,170.28,123.2,141.9,55093,157591,58408,8974296,79161241475573,7248,147871019,0.098,0.0665,8.421,2893,91.286,8193,11.092,86205,20.42,0.944,11086050.0,619929.370863019,137.3
2013-04-27,141.9,142.53,126.68,137.3,44222,147139,46192,8974296,72946223747758,6431,95533900,0.111,0.0632,9.796,2291,85.832,8193,9.702,78259,20.167,1.054,11090225.0,572109.88793,128.8
2013-04-28,137.3,148.61,125.76,128.8,41702,121938,45294,8974296,71142720780228,7773,63338129,0.0975,0.062,8.136,1703,72.582,8193,9.982,118060,20.183,0.739,11087150.0,645240.0912,135.28
2013-04-29,128.8,148.18,121.57,135.28,51602,147484,54430,8974296,79016812809824,7263,110560621,0.116,0.0653,8.276,4764,91.261,8193,9.708,86965,20.057,1.044,11098475.0,631409.784038169,143.31
2013-04-30,135.31,151.65,123.96,143.31,47450,181411,44309,9854414,79306324484339,6393,78727820,0.13,0.0672,9.664,2824,75.671,8193,9.148,76917,20.088,1.217,11098275.0,442507.288,139.88
2013-05-01,143.32,144.99,133.89,139.88,55176,170298,54108,10076293,75031690568420,6340,108383140,0.0924,0.0623,9.536,3054,88.1,8193,11.205,83615,20.156,1.074,11105600.0,383775.10965,116.75
2013-05-02,139.87,140.3,104.9,116.75,55295,196845,52328,10076293,70601670548236,5352,89278015,0.106,0.0555,10.746,1811,71.153,8193,11.765,81968,20.215,1.548,11109275.0,409938.7621563,106.81
2013-05-03,116.75,127.24,93.01,106.81,51275,182394,49175,10076293,70633926813267,5046,70332745,0.091,0.0513,10.511,1610,71.191,8193,12.325,82857,20.229,1.313,11109450.0,435864.26268,98.08
2013-05-04,107.02,108.0,81.5,98.08,50102,157886,41555,10076293,74649241020316,5658,41872045,0.0957,0.0525,9.057,1047,46.458,8193,10.084,69993,20.203,1.139,11116975.0,458356.35888,112.62
2013-05-05,98.08,115.64,94.0,112.62,50167,152564,43934,10076293,75408284839627,6262,57458342,0.0827,0.0567,8.727,1435,59.378,8193,9.524,72149,20.175,0.882,11121050.0,470673.008996268,116.57
2013-05-06,112.89,118.76,106.5,116.57,53174,163102,50032,10076293,87037913347608,5457,84045320,0.113,0.0565,8.675,1810,64.307,8193,9.524,85210,20.096,1.264,11120550.0,474770.45,112.71
2013-05-07,116.9,123.97,105.0,112.71,56567,170960,57940,10076293,84183375461294,5568,95351737,0.0912,0.0552,8.571,1910,70.008,8193,8.403,109120,20.097,1.103,11129525.0,469929.84124,110.0
2013-05-08,112.67,112.95,98.77,110.0,50274,156512,55702,10076293,85479259498682,5355,79989908,0.113,0.0548,8.727,1799,76.058,8193,7.843,102439,20.126,1.249,11133675.0,500229.167555164,113.16
2013-05-09,110.92,116.29,109.41,113.16,66610,189043,56865,10076293,82997649928813,5442,61885986,0.107,0.0542,8.78,1135,59.976,8193,8.403,81940,20.137,1.585,11131800.0,498374.8,111.96
